ticker;quantity;price;;;
META;10; 525,72  $ ; 5 257,20  $ ;;
MSFT;11; 356,77  $ ; 3 924,47  $ ;;
AMZN;10; 199,34  $ ; 1 993,40  $ ;;
SPY;31; 634,09  $ ; 19 656,79  $ ;;
TLT;70; 85,64  $ ; 5 994,80  $ ;;
NVDA;10; 167,52  $ ; 1 675,20  $ ;;
USO;10; 124,20  $ ; 1 242,00  $ ;;
BRK-B;2; 468,49  $ ; 936,98  $ ;;
BMO.TO;9; 183,03  $ ; 1 647,27  $ ;;
NA.TO;24; 177,49  $ ; 4 259,76  $ ;;
CASH.TO;1753; 50,04  $ ; 87 720,12  $ ;;
SIS.TO;140; 26,17  $ ; 3 663,80  $ ;;
TD.TO;24; 126,87  $ ; 3 044,88  $ ;;
VFV.TO;456; 156,70  $ ; 71 455,20  $ ;;
XIU.TO;95; 47,04  $ ; 4 468,80  $ ;;
XSB.TO;456; 26,70  $ ; 12 175,20  $ ;;
ZAG.TO;1005; 13,63  $ ; 13 698,15  $ ;;
VSP.TO;209; 100,55  $ ; 21 014,95  $ ;;
XBB.TO;1500; 27,75  $ ; 41 625,00  $ ;;
;;;;;
